DP00004	P49913
DP00007	P27695
DP00011	P0DMM9
DP00016	P38936
DP00017	P49918
DP00018	P46527
DP00028	Q13541
DP00054	P78356
DP00062	P19793
DP00069	P63027
DP00073	P04818
DP00075	P11387
DP00079	Q92731
DP00084	P61244
DP00086	P04637
DP00092	Q08209
DP00119	P10163
DP00123	P01730
DP00134	Q06787
DP00141	O95405
DP00153	P01112
DP00162	O75324
DP00173	O00273
DP00196	P20810
DP00214	P10451
DP00219	O60927
DP00223	P14635
DP00230	Q14449
DP00231	P14859
DP00236	P02686
DP00238	P38398
DP00262	Q16665
DP00287	P40337
DP00307	P51946
DP00308	P06132
DP00309	P00533
DP00311	P24071
DP00315	O43464
DP00320	P05121
DP00322	P11309
DP00324	P09651
DP00327	O14832
DP00332	P21815
DP00333	P27797
DP00339	P16442
DP00343	Q9Y6Q9
DP00357	P62328
DP00358	Q15185
DP00364	Q15382
DP00392	Q09161
DP00393	P52298
DP00420	Q96T21
DP00428	P53350
DP00448	Q9Y613
DP00466	P04156
DP00468	P25963
DP00485	Q9UBE0
DP00486	Q9UBT2
DP00492	P10275
DP00506	P07766
DP00517	P52179
DP00520	Q969F2
DP00521	O95997
DP00537	O43236
DP00539	P51608
DP00543	Q14061
DP00546	Q9NX55
DP00549	O00488
DP00554	Q9C000
DP00555	Q16143
DP00558	P49354
DP00565	P63098
DP00570	P09132
DP00581	P11233
DP00607	Q16595
DP00608	Q13573
DP00611	P30291
DP00621	P00736
DP00630	O76070
DP00633	Q09472
DP00641	P51671
DP00652	P00441
DP00670	Q29983
DP00672	Q92886
DP00683	Q99801
DP00694	Q8N488
DP00704	P24522
DP00706	Q15517
DP00709	Q9Y3M2
DP00716	P02545
DP00718	P37231
DP00736	Q9UKV8
DP00747	P01160
DP00748	P46108
DP00757	Q9BSY4
DP00793	P05387
DP00796	P15382
DP00816	P41236
DP00841	O14733
DP00846	O60888
DP00864	Q9BQ15
DP00865	Q6P3W2
DP00873	Q9H981
DP00893	P08240
DP00901	O75496
DP00903	P47813
DP00910	P41567
DP00912	Q8N4Q1
DP00917	P21583
DP00934	P61925
DP00937	Q12972
DP00941	Q93009
DP00949	Q9HAU5
DP00951	P17677
DP00959	O15169
DP00961	P52630
DP00962	P42224
DP00969	Q02548
DP01054	Q76LA1
DP01063	Q9Y6C2
DP01065	Q9NQI0
DP01098	Q16222-2
DP01099	O00204-2
DP01100	P10636-8
DP01102	P35637
DP01103	Q13698
DP01106	P16471
DP01111	Q13501
DP01115	Q16236
DP01116	Q03164
DP01117	O60566
DP01119	P35222
DP01120	P24864
DP01128	O43806
DP01130	P49757
DP01131	O14558
DP01132	Q12778
DP01133	Q00987-11
DP01134	P10071
DP01156	P07305
DP01157	P04908
DP01158	P06899
DP01161	Q9UMS4
DP01163	O14974
DP01171	P42768
DP01172	O43516
DP01173	Q15726
DP01203	O75807
DP01224	O43312
DP01228	Q9UMZ1
DP01240	Q9UJX2
DP01241	P19634
DP01244	O76074
DP01248	O95292
DP01249	P61073
DP01252	P01137
DP01262	P49848
DP01268	Q9H816
DP01269	Q8NG31
DP01271	Q15691
DP01277	Q6VMQ6
DP01278	Q68DK7
DP01279	Q8N5Y2
DP01282	Q16576
DP01283	Q9Y3E7
DP01284	P24928
DP01293	Q13542
DP01303	O14519
DP01306	Q03518
DP01308	O60828
DP01309	P50750
DP01310	Q8WUP2
DP01311	Q6NUK1
DP01312	Q9UMX1
DP01329	P28324
DP01333	O00522
DP01335	O94907
DP01337	Q96B02
DP01342	P52564
DP01347	Q9UNL4
DP01364	P62826
DP01396	P01130
DP01400	P45985
DP01420	Q16543
DP01425	Q15004
DP01427	Q01094
DP01447	P30281
DP01449	Q15637
DP01450	Q9UKT4
DP01451	Q9UBU9
DP01453	Q8NHZ8
DP01455	Q96DE5
DP01456	Q01081
DP01457	Q92973
DP01458	Q9Y3B4
DP01463	Q9UHB7
DP01473	Q96GU1
DP01486	P11912
DP01487	P40259
DP01490	Q9NR61
DP01506	P08263
DP01507	Q9UQC2
DP01508	Q15418
DP01517	Q06710
DP01520	Q02297-10
DP01524	Q9UM11
DP01531	O75554
DP01534	Q07889
DP01537	O00429-3
DP01544	Q8WV28
DP01551	Q99523
DP01552	P33763
DP01556	Q96GC6
DP01560	Q9UMR2
DP01564	Q12905
DP01580	P06239
DP01590	Q92945
DP01597	P52945
DP01598	Q9BRG1
DP01601	P26599
DP01603	Q96IZ0
DP01619	Q9NR28
DP01620	P20823
DP01622	Q06609
DP01626	Q01831
DP01633	P29083
DP01637	Q8NI22
DP01640	Q13351
DP01641	Q07955
DP01643	O75506
DP01647	P51449
DP01648	P84022
DP01651	Q96T88
DP01654	P36578
DP01662	P55957
DP01668	P12081
DP01675	O75928
DP01701	Q5VZK9
DP01705	Q07666
DP01720	Q9NT62
DP01724	O95644
DP01730	Q7Z3C6
DP01738	P04271
DP01741	Q6PHW0
DP01747	P48788
DP01750	P62877
DP01757	Q13029
DP01764	O95718
DP01765	Q9NQA5
DP01768	P58753
DP01771	P78560
DP01773	P98170
DP01781	O75112-6
DP01784	Q86UX7
DP01788	P98177
DP01790	P15941
DP01795	Q9BUH6
DP01804	P53999
DP01805	P40855
DP01807	P49005
DP01835	O43715
DP01841	P08514
DP01842	P05106
DP01845	Q13451
DP01848	P05107
DP01855	Q9NQC3-1
DP01857	P09012
DP01863	O75533
DP01869	P51587
DP01874	O95149
DP01878	Q9UPR3
DP01880	Q15596
DP01884	Q9UKT5
DP01898	O60885
DP01914	Q96RI1
DP01938	P11021
DP01942	P50553
DP01950	P21333
DP01967	P0CF51
DP01972	P13693
DP01985	Q8TEK3
DP01987	Q14493
DP01990	P36894
DP02000	O14745
DP02003	P16220
DP02004	Q92793
DP02005	P47710
DP02007	Q9H2Y7
DP02009	O75683
DP02010	Q9NRJ3
DP02013	P0DP23
DP02015	P52272
DP02027	P17405
DP02034	P62805
DP02075	P28300
DP02078	P02686-5
DP02096	P28698
DP02100	P60604
DP02123	P52948
DP02142	Q2TAZ0
DP02148	Q676U5
DP02150	Q9HD26
DP02160	P61328-2
DP02162	P16050
DP02164	Q8WUM0
DP02170	O15234
DP02171	P08621
DP02191	P51965
DP02210	Q03519
DP02231	Q99958
DP02233	Q13547
DP02234	P08476
DP02251	P68363
DP02253	Q96F86
DP02262	P42226
DP02267	Q8IVG9
DP02269	Q9Y6K9
DP02290	Q92905
DP02292	Q96PU5
DP02294	P63165
DP02301	Q71UI9
DP02302	Q15843
DP02303	Q0JRZ9
DP02309	Q96RF0
DP02316	O43663
DP02327	Q00169
DP02328	P53779
DP02332	Q9BUQ8
DP02333	P13861
DP02345	Q92804
DP02348	Q8N5F7
DP02349	P51825
DP02360	O14810
DP02361	O95429
DP02368	P29536
DP02381	O60706-2
DP02383	P08631
DP02386	Q9NYB9
DP02393	Q8IZD2
DP02398	Q04637
DP02399	P06730
DP02404	Q96N21
DP02405	Q8IYW5
DP02408	Q9P2K3-3
DP02409	Q9BTT0
DP02411	Q08050
DP02420	Q86YV5
DP02428	Q5T4W7
DP02446	Q8IU57
DP02449	Q15583
DP02457	O95400
DP02458	P17181
DP02463	Q9NRR4
DP02471	Q96G97
DP02473	Q15642
DP02475	Q86UE8
DP02477	Q01970
DP02479	O60502
DP02523	Q9UKL0
DP02531	S6B291
DP02533	P56696
DP02538	Q16790
DP02543	Q9NUM4
DP02545	P07948
DP02552	P43629
DP02555	Q15109
DP02558	Q9NP70
DP02561	P60880
DP02564	Q15717
DP02567	P01266
DP02571	P80192
DP02585	Q9H900
DP02592	Q9H8Y8
DP02594	P63241
DP02595	P25490
DP02598	Q96H20
DP02601	Q96NW4
DP02604	P20020-1
DP02605	P02533
DP02606	P13647
DP02607	Q9UNA0
DP02608	Q8IUQ4
DP02609	Q96PY5
DP02611	Q8N1G2
DP02612	Q9Y6D6
DP02614	Q3MIT2
DP02615	O75817
DP02620	Q14194
DP02622	Q15113
DP02627	Q8TEP8
DP02628	O94986
DP02630	O14958
DP02632	P31321
DP02645	Q9HC35
DP02647	O95278
DP02649	P01023
DP02651	P30542
DP02652	Q96FQ6
DP02654	Q9H5I1
DP02656	P08294
DP02661	Q6ZVN8
DP02665	Q9Y5C1
DP02670	P15848
DP02673	P11926
DP02674	P54368
DP02675	O14977
DP02676	Q9HD36
DP02678	O75936
DP02680	P23280
DP02691	Q92608
DP02692	Q6R327
DP02694	Q8WUN7
DP02697	Q02363
DP02698	P54687
DP02699	Q6V1X1
DP02702	Q14995
DP02704	P41214
DP02706	Q9NXV2
DP02709	P04035
DP02710	Q9BQ50
DP02712	Q9H3P2
DP02713	P18615
DP02714	O60880
DP02719	Q53FT3
DP02724	Q13838
DP02727	Q13526
DP02728	P42166
DP02729	Q96EP1
DP02735	P07355
DP02742	P06756
DP02744	Q92574
DP02745	P05231
DP02746	Q14565
DP02747	Q9GZN7
DP02748	P36871
DP02753	Q13617
DP02757	Q9GZU1
DP02758	Q13563
DP02759	Q14181
DP02764	Q13162
DP02770	P01127
DP02781	Q9UPY3
DP02783	P49189
DP02785	P16278
DP02795	Q9NV23
DP02798	P23771
DP02803	Q96Q11
DP02812	A6NI73
DP02815	P62330
DP02816	P48740-3
DP02818	Q07157
DP02822	Q8IVH8
DP02823	Q9UKY0
DP02824	Q14019
DP02825	P31153
DP02829	P46379
DP02833	Q9Y4F1
DP02834	Q9Y2Z0
DP02838	P20807
DP02840	O60934
DP02849	O43521
DP02850	O60239
DP02852	P55197
DP02854	Q9BYF1
DP02855	P11166
DP02856	P83916
DP02858	P18206-2
DP02860	P55211
DP02868	Q9Y5S9
DP02869	Q16630
DP02875	P55789
DP02876	Q8N884
DP02881	Q09428
DP02885	Q10589
DP02894	Q9BZZ5-2
DP02904	Q8NBI3
DP02911	Q8N3V7
DP02913	P04004
DP02916	Q14444
DP02921	P26368
DP02922	P01215
DP02930	Q9Y6I3
DP02953	P08572
DP02954	Q12888
DP02971	Q5JRX3
DP02975	P06734
DP02976	Q05193
DP02977	O75962
DP03004	P58004
DP03006	O95843
DP03010	Q5D1E8
DP03012	P40818
DP03013	Q16821
DP03015	Q86XI6
DP03016	P11274
DP03037	Q96GX5
DP03042	Q9UBU7
DP03059	Q15059
DP03074	O60825
DP03075	Q9H3M7
DP03081	P0DJI8
DP03088	Q9BV68
DP03098	P02774
DP03100	Q14258
DP03104	P29590
DP03108	P15374
DP03109	Q9BYI3
DP03113	Q6ZNA4
DP03114	Q86TV6
DP03115	Q6P4R8
DP03121	P11686
DP03124	O95835
DP03130	Q7KZI7
DP03135	P35680
DP03141	Q9BYG3
DP03142	Q16667
DP03144	Q05397
DP03147	Q86Y38
DP03148	P41227
DP03150	Q99598
DP03151	Q13363
DP03159	Q9UBR1
DP03161	Q8WVQ1
DP03162	O00299
DP03164	Q9Y696
DP03166	P00519
DP03168	P00519-2
DP03169	Q9NQC7
DP03171	Q16831
DP03172	Q9NRN7
DP03180	Q03692
DP03184	P09919
DP03185	O75223
DP03186	P28325
DP03187	P43250
DP03190	P49257
DP03192	Q15013
DP03199	P00749
DP03201	Q96CV9
DP03203	P55210
DP03206	Q8IYB8
DP03209	A6ND01
DP03211	Q9BRT9
DP03216	Q96EQ8
DP03222	Q92783
DP03229	P05451
DP03232	Q7KZF4
DP03233	Q92900-2
DP03235	P50148
DP03238	P55072
DP03243	Q68D10
DP03246	O75475
DP03248	Q9NYV4
DP03249	Q96RJ3
DP03254	P52848
DP03255	P16035
DP03256	P08253
DP03260	O60568
DP03271	P21580
DP03272	Q6GQQ9
DP03274	Q9Y4K0
DP03280	P19827
DP03281	Q2MKA7
DP03291	Q9UK55
DP03294	P02760
DP03295	Q92854
DP03297	P01034
DP03298	P63000
DP03299	P00734
DP03300	P31749
DP03303	Q8IW75
DP03311	P00740
DP03312	P10619
DP03314	Q06141
DP03323	Q13316
DP03324	P35052
DP03343	Q9HCB6
DP03345	O00214
DP03348	Q5T1C6
DP03351	P23677
DP03358	Q92743
DP03366	P53778
DP03369	O15391
DP03379	Q14766
DP03380	P83110
DP03382	P98066
DP03383	Q8WVM7
DP03385	P20592
DP03389	Q9UBT3
DP03397	P13051-1
DP03399	P60484-2
DP03400	Q9H4L7
DP03403	Q8WXS3-1
DP03404	P56211
DP03417	P10997
DP03424	P80303
DP03426	P25024
DP03427	P31327
DP03433	Q13153
DP03444	Q9UPP1
DP03446	Q9NR48
DP03447	Q13177
DP03448	P56524
DP03453	P51513
DP03455	O00189
DP03456	P27635
DP03487	Q9GZZ9
DP03497	P27361
DP03499	Q04637-8
DP03512	P18827
DP03514	O75056
DP03515	P31431-2
DP03529	Q9NP98
DP03552	P10636-2
DP03553	O94829
DP03554	Q9UKK9
DP03622	Q12962
DP03626	O15054
DP03628	P52732
DP03637	Q8NC51
DP03645	Q9Y4D1
DP03650	Q01484
DP03654	P63104
DP03660	A0A5F9ZHA1
DP03669	Q4LE39
DP03671	Q8TDY2
DP03681	P55285
DP03687	O00410
DP03690	P30518
DP03693	P01732
DP03697	Q07820
DP03700	Q9H9R9
DP03703	Q8N660
DP03704	A0A1B0GTR3
DP03706	Q13480
DP03709	O96018
DP03711	Q9BXW4
DP03712	Q99623
DP03726	P40939
DP03729	Q8IYT8
DP03730	Q13627
DP03732	Q8NER1
DP03733	Q9Y5S1
DP03734	Q8NET8
DP03739	P24588
DP03743	Q96QZ7
DP03755	A0A090N8E9
DP03756	P36888
DP03805	Q15858
DP03807	A8K2U0
DP03816	Q99986
DP03817	P42658
DP03821	Q9UL18
DP03832	Q16740
DP03833	Q9H9E3
DP03834	A4D126
DP03835	P14868
DP03837	P49366
DP03838	O00548
DP03839	Q92785
DP03842	P37268
DP03845	P07902
DP03848	Q9NQX3
DP03856	P35475
DP03859	Q2M1P5
DP03860	P01116
DP03862	P21397
DP03863	O43318
DP03865	O95822
DP03866	Q8IVH4
DP03872	O75970
DP03873	P42898
DP03875	Q92913-2
DP03876	Q9UBK8
DP03877	O43776
DP03882	P01111
DP03884	O96028
DP03885	P49902
DP03890	Q01968
DP03891	O15294
DP03892	P00439
DP03908	P84243
DP03919	O15151
DP03926	P81274
DP03928	Q7RTN6
DP03944	P19525
DP03949	O15294-3
DP03952	Q13224
DP03953	P43034
DP03956	O14678
DP03957	P60709
DP03958	O96019
DP03959	Q9Y653
DP03961	Q9NX46
DP03962	P30566
DP03963	O95831
DP03966	P49419
DP03967	Q96BT7
DP03968	Q01433
DP03969	Q9H1A4
DP03970	Q9NW15
DP03971	Q10567
DP03976	P28472
DP03977	P18507
DP03991	Q9UN86
DP04067	Q9H078
DP04070	Q96F81
DP04075	Q9Y2M5
DP04076	P35790
DP04077	Q9UQ13
DP04080	Q9ULK4
DP04093	P30531
DP04094	P35219
DP04095	P49758
DP04101	Q9H0W8
DP04108	P52306-2
DP04112	Q3SYG4
DP04115	Q96RK4
DP04117	Q8N3I7
DP04119	Q01105-2
DP04120	O14775
DP04121	Q5T848
DP04137	O43561-2
DP00097	P10922
DP00129	Q04207
DP00265	P04925
DP00291	Q9QXT8
DP00335	Q64364
DP00340	P62965
DP00341	Q02248
DP00348	P45481
DP00384	P63158
DP00446	O35718
DP00462	P11157
DP00491	Q62165
DP00541	Q91V27
DP00563	Q61337
DP00564	Q6P8Z1
DP00587	Q9CQK7
DP00655	P59113
DP00661	Q9CX60
DP00708	O35613
DP00742	Q99LM3
DP00767	P27782
DP00815	Q9DCL8
DP00936	O88998
DP00974	P42866
DP01022	Q6URW6
DP01073	Q61548
DP01101	P04370-5
DP01175	P28235
DP01183	Q9R224
DP01190	Q9WUP7-2
DP01281	Q9JM54
DP01315	Q9QWH1
DP01316	P25916
DP01397	Q9Z0P7
DP01448	P10923
DP01548	Q8CJF7
DP01578	P41969
DP01594	Q80ZV0
DP01667	Q548Y4
DP01752	Q60598
DP01794	Q99ML1
DP01879	Q9JIH2
DP01940	Q8BH64
DP01944	P31324
DP01993	Q80VP1
DP02061	P70447
DP02151	Q925J9
DP02258	Q9JLC3
DP02296	P60761
DP02314	Q9ERE7
DP02369	Q00780
DP02371	O08583
DP02376	Q4ACU6
DP02410	P21952
DP02412	O88513
DP02426	Q80VW5
DP02451	P46938
DP02478	Q6SJQ7
DP02517	Q64487-12
DP02534	O70201
DP02569	Q8R1S4
DP02573	Q8VEL9
DP02579	Q8VDQ1
DP02586	P10761
DP02593	Q9ESJ0
DP02602	P70280
DP02613	Q8K368
DP02625	Q920Q2
DP02633	P22605
DP02659	Q91ZW2
DP02681	B8ZXI1
DP02695	Q9JIP3
DP02755	Q69ZK9
DP02756	P21447
DP02790	Q8BTI9
DP02792	P42337
DP02805	Q91WA6
DP02810	P02469
DP02817	Q64373
DP02819	Q62420
DP02830	Q91YD9
DP02853	Q99P68
DP02871	Q5D1E7
DP02874	Q61033
DP02882	Q6A070
DP02896	Q91VS8
DP02943	P63101
DP02956	O70200
DP03007	P97784
DP03082	P05367
DP03126	Q9WTL8
DP03127	Q9R194
DP03177	Q8CJ26
DP03197	P41209
DP03198	P62696
DP03258	Q60841
DP03305	Q60675
DP03367	Q61585
DP03409	Q61937
DP03420	Q7TMK9
DP03555	Q8K310
DP03625	Q5NCY0
DP03695	P70365
DP03735	Q9ET78
DP00606	P42759
DP00609	O81283
DP00610	Q9SLF3
DP00654	Q9ZPI5
DP00658	P42758
DP00662	Q8LBP4
DP00667	P42763
DP01057	Q42512
DP01085	Q9SKI4
DP01121	Q38825
DP01180	Q8RY59
DP01299	Q96273
DP01300	Q9SLJ2
DP01355	P46014
DP01467	Q9SP32
DP01543	P84634
DP02209	O82132
DP02550	Q8VY98
DP02575	P83755
DP02576	P56777
DP02577	P23321
DP02631	Q39026
DP02640	Q4F883
DP02641	Q8GY88
DP02642	P53780
DP02643	Q9MAB9
DP02644	Q9SUM3
DP02648	Q8GXX0
DP02696	Q9FLN8
DP02726	Q42521
DP02754	Q9S7B5
DP02919	Q9SQK3
DP02962	Q9SN68
DP02969	O80837
DP02979	Q56WD9
DP03110	Q9FIX2
DP03136	F4IED2
DP03138	Q8GTS2
DP03140	O50008
DP03265	O48963
DP03267	Q9FIC3
DP03268	Q682I1
DP03269	Q9C552
DP03270	Q00958
DP03283	O80452
DP03284	Q8GUI6
DP03325	Q9SZF7
DP03469	Q8VZS8
DP03651	Q9MBH1
DP03652	Q9LTJ1
DP03655	Q9SSK9
DP03656	Q9SN73
DP03657	Q9SSA5
DP03674	Q9S7A9
DP03675	F4K4L7
DP03740	Q9C6B8
DP01113	D0PV95
DP01313	Q9N4U5
DP01436	P54936
DP02025	P30429
DP02313	Q8IG33
DP02377	Q9GRZ3
DP02378	Q09260
DP02982	O01479
DP02984	P09446
DP02989	Q03611
DP02990	Q9U489
DP02991	Q9XTW2
DP02999	P34808
DP03045	P30429-2
DP03049	Q18235
DP03050	G5ED39
DP03068	P24348
DP03102	O44326
DP03105	Q967F4
DP03106	P34369
DP03107	Q23229
DP03218	O76463
DP03219	Q9U3N4
DP03239	P52874
DP03318	Q95ZK7
DP03322	Q94218-2
DP03334	P90947
DP03335	P42573
DP03340	O62479
DP03472	Q09535
DP00269	Q24298
DP00328	Q08605
DP00346	P07140
DP00623	P83949
DP00720	Q05344
DP00721	Q8IRG6
DP00811	Q9V452
DP01287	Q9VZU1
DP01494	Q9VMA3
DP01495	P08510
DP01497	Q9NK80
DP01546	P84051
DP01569	P34021-2
DP01605	P19339
DP01870	P84040
DP02149	Q24570
DP02400	P48598
DP02556	P09077
DP02557	P07548
DP02623	P42003
DP02662	Q9VXJ0
DP02718	Q8ST83
DP02763	Q9VI75
DP02828	Q9W058
DP02836	P24785
DP02890	Q7K5N4
DP03066	O16043
DP03083	Q9VNE4
DP03483	P05661
DP03485	Q9VKJ9
DP03721	Q9W1M7
DP03744	Q9VVJ7
DP04061	P29617
DP00103	P09372
DP00107	P69924
DP00140	P0A7L8
DP00147	P0A7U3
DP00190	P38038
DP00194	P0AFZ3
DP00197	P0A707
DP00252	P0A877
DP00301	P0ABQ4
DP00349	P06709
DP00377	P45577
DP00407	P07363
DP00414	P0ABS1
DP00422	P0A6R3
DP00427	P0AFG8
DP00429	P32170
DP00516	P60472
DP00766	P0A9K9
DP00774	P40719
DP00790	P08245
DP00928	P62552
DP00970	P0ABD8
DP00989	P0ACX9
DP00991	P0AAC0
DP01050	P0A6X3
DP01177	P0AE98
DP01291	P0AE72
DP01339	P0A903
DP01496	P0AFG0
DP01650	P0A7K2
DP01714	P0A8H8
DP01735	P80644
DP01740	P68688
DP01837	P37330
DP01881	P0C077
DP02127	P0AG30
DP02134	P0ABS5
DP02169	P37028
DP02271	P29131
DP02484	P0AD27
DP02537	P30130
DP02548	P0AES9
DP02715	P00452
DP02734	P21517
DP02740	P08179
DP02760	P76216
DP02827	P22523
DP02863	P62558
DP02899	P23873
DP02900	P0A968
DP02923	P33128
