DP00007: P27695
DP00013: P0DN86
DP00016: P38936
DP00018: P46527
DP00023: P14061
DP00028: Q13541
DP00033: P10912
DP00040: P17096
DP00062: P19793
DP00070: P37840
DP00073: P04818
DP00075: P11387
DP00078: P01100
DP00085: Q04206
DP00099: P50440
DP00119: P10163
DP00123: P01730
DP00130: P22531
DP00134: Q06787
DP00138: P12272
DP00141: O95405
DP00156: P54725
DP00162: O75324
DP00168: Q9NVS9
DP00173: O00273
DP00177: Q9Y5B0
DP00196: P20810
DP00200: P20963
DP00223: P14635
DP00229: P05455
DP00230: Q14449
DP00231: P14859
DP00238: P38398
DP00240: P35611
DP00241: P35612
DP00260: P01106
DP00262: Q16665
DP00282: Q04656
DP00287: P40337
DP00304: P31751
DP00308: P06132
DP00309: P00533
DP00311: P24071
DP00314: Q9UJY5
DP00319: O15350
DP00321: Q9UM07
DP00322: P11309
DP00323: O75469
DP00324: P09651
DP00332: P21815
DP00333: P27797
DP00334: Q00987
DP00339: P16442
DP00343: Q9Y6Q9
DP00356: Q99967
DP00358: Q15185
DP00363: Q16222
DP00364: Q15382
DP00372: Q9NR00
DP00378: P08047
DP00385: P49841
DP00393: P52298
DP00418: P78504
DP00428: P53350
DP00437: P43351
DP00443: Q14191
DP00445: P02511
DP00448: Q9Y613
DP00457: Q9Y3D6
DP00466: P04156
DP00468: P25963
DP00472: P50542
DP00485: Q9UBE0
DP00486: Q9UBT2
DP00506: P07766
DP00510: O60356
DP00517: P52179
DP00521: O95997
DP00537: O43236
DP00549: O00488
DP00551: P16860
DP00554: Q9C000
DP00555: Q16143
DP00565: P63098
DP00581: P11233
DP00592: P48539
DP00608: Q13573
DP00611: P30291
DP00616: P02788
DP00621: P00736
DP00641: P51671
DP00652: P00441
DP00666: P32004
DP00670: Q29983
DP00672: Q92886
DP00678: P11171
DP00683: Q99801
DP00694: Q8N488
DP00696: Q9Y258
DP00706: Q15517
DP00709: Q9Y3M2
DP00718: P37231
DP00736: Q9UKV8
DP00747: P01160
DP00748: P46108
DP00775: P15311
DP00793: P05387
